wall_mid 12 11 0 0
wall_mid 12 12 0 0
wall_mid 12 13 0 0
wall_mid 12 14 0 0
wall_mid 12 15 0 0
wall_mid 12 16 0 0
wall_mid 12 17 0 0
wall_mid 12 18 0 0
wall_mid 12 19 0 0
wall_mid 13 11 0 0
floor_1 13 12 0 0
floor_1 13 13 0 0
floor_1 13 14 0 0
floor_1 13 15 0 0
floor_1 13 16 0 0
floor_1 13 17 0 0
floor_1 13 18 0 0
wall_mid 13 19 0 0
wall_mid 14 11 0 0
floor_1 14 12 0 0
floor_1 14 13 0 0
floor_1 14 14 0 0
knight_m_run_anim_f0 14 14 0 0
floor_1 14 15 0 0
floor_1 14 16 0 0
floor_1 14 17 0 0
floor_1 14 18 0 0
wall_mid 14 19 0 0
wall_mid 15 11 0 0
floor_1 15 12 0 0
floor_1 15 13 0 0
floor_1 15 14 0 0
floor_1 15 15 0 0
floor_1 15 16 0 0
floor_1 15 17 0 0
floor_1 15 18 0 0
wall_mid 15 19 0 0
wall_mid 16 11 0 0
floor_1 16 12 0 0
floor_1 16 13 0 0
floor_1 16 14 0 0
floor_1 16 15 0 0
floor_1 16 16 0 0
floor_1 16 17 0 0
floor_1 16 18 0 0
wall_mid 16 19 0 0
wall_mid 17 11 0 0
floor_1 17 12 0 0
floor_1 17 13 0 0
floor_1 17 14 0 0
floor_1 17 15 0 0
floor_1 17 16 0 0
floor_1 17 17 0 0
floor_1 17 18 0 0
wall_mid 17 19 0 0
wall_mid 18 11 0 0
floor_1 18 12 0 0
floor_1 18 13 0 0
floor_1 18 14 0 0
floor_1 18 15 0 0
floor_1 18 16 0 0
floor_1 18 17 0 0
floor_1 18 18 0 0
wall_mid 18 19 0 0
wall_mid 19 11 0 0
floor_1 19 12 0 0
floor_1 19 13 0 0
floor_1 19 14 0 0
floor_1 19 15 0 0
floor_1 19 16 0 0
floor_1 19 17 0 0
floor_1 19 18 0 0
wall_mid 19 19 0 0
wall_mid 20 9 0 0
wall_mid 20 10 0 0
wall_mid 20 11 0 0
floor_1 20 12 0 0
floor_spikes_anim_f0 20 12 0 0
floor_1 20 13 0 0
floor_1 20 14 0 0
floor_1 20 15 0 0
floor_1 20 16 0 0
floor_1 20 17 0 0
floor_1 20 18 0 0
floor_spikes_anim_f0 20 18 0 0
wall_mid 20 19 0 0
wall_mid 20 20 0 0
wall_mid 20 21 0 0
wall_mid 21 9 0 0
floor_1 21 10 0 0
floor_1 21 11 0 0
floor_1 21 12 0 0
floor_1 21 13 0 0
floor_spikes_anim_f0 21 13 0 0
floor_1 21 14 0 0
floor_1 21 15 0 0
floor_1 21 16 0 0
floor_1 21 17 0 0
